"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] VideoGameTitleComparatorLevenshtein record1Value","[0] VideoGameTitleComparatorLevenshtein record2Value","[0] VideoGameTitleComparatorLevenshtein record1PreprocessedValue","[0] VideoGameTitleComparatorLevenshtein record2PreprocessedValue","[0] VideoGameTitleComparatorLevenshtein similarity","[0] VideoGameTitleComparatorLevenshtein postproccesedSimilarity","[1] VideoGamePlatformComparator record1Value","[1] VideoGamePlatformComparator record2Value","[1] VideoGamePlatformComparator record1PreprocessedValue","[1] VideoGamePlatformComparator record2PreprocessedValue","[1] VideoGamePlatformComparator similarity","[1] VideoGamePlatformComparator postproccesedSimilarity","[2] VideoGamePublisherComparatorLevenshtein record1Value","[2] VideoGamePublisherComparatorLevenshtein record2Value","[2] VideoGamePublisherComparatorLevenshtein record1PreprocessedValue","[2] VideoGamePublisherComparatorLevenshtein record2PreprocessedValue","[2] VideoGamePublisherComparatorLevenshtein similarity","[2] VideoGamePublisherComparatorLevenshtein postproccesedSimilarity","[3] VideoGamePubDateComparator1Year record1Value","[3] VideoGamePubDateComparator1Year record2Value","[3] VideoGamePubDateComparator1Year record1PreprocessedValue","[3] VideoGamePubDateComparator1Year record2PreprocessedValue","[3] VideoGamePubDateComparator1Year similarity","[3] VideoGamePubDateComparator1Year postproccesedSimilarity","[4] VideoGameDeveloperComparatorLevenshtein record1Value","[4] VideoGameDeveloperComparatorLevenshtein record2Value","[4] VideoGameDeveloperComparatorLevenshtein record1PreprocessedValue","[4] VideoGameDeveloperComparatorLevenshtein record2PreprocessedValue","[4] VideoGameDeveloperComparatorLevenshtein similarity","[4] VideoGameDeveloperComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","wikidata_22091","vg_sales_7711","0.3840956340956341",,"That's So Raven: Psychic on the Scene","101-in-1 Explosive Megamix","That's So Raven: Psychic on the Scene","101-in-1 Explosive Megamix","0.16216216216216217","0.16216216216216217","Nintendo DS","DS","Nintendo DS","DS","1.0","1.0","Disney Interactive Studios","Nordcurrent","Disney Interactive Studios","Nordcurrent","0.1923076923076923","0.1923076923076923","2006-01-01T00:00","2008-01-01T00:00","2006-01-01T00:00","2008-01-01T00:00","0.0","0.0","Handheld Games",,"Handheld Games",,"0.0","0.0"
"LinearCombinationMatchingRule","wikidata_35979","vg_sales_15153","0.36857142857142855",,"..and the mooncats","18 Wheels of Steel: Extreme Trucker","..and the mooncats","18 Wheels of Steel: Extreme Trucker","0.17142857142857137","0.17142857142857137","Microsoft Windows","PC","Microsoft Windows","PC","1.0","1.0",,"Rondomedia",,"Rondomedia","0.0","0.0","2015-01-01T00:00","2009-01-01T00:00","2015-01-01T00:00","2009-01-01T00:00","0.0","0.0",,,,,"0.0","0.0"
"LinearCombinationMatchingRule","wikidata_9018","vg_sales_15006","0.07058823529411766",,"'98 Kōshien","11eyes: CrossOver","'98 Kōshien","11eyes: CrossOver","0.17647058823529416","0.17647058823529416","PlayStation","X360","PlayStation","X360","0.0","0.0",,"5pb",,"5pb","0.0","0.0","1998-01-01T00:00","2009-01-01T00:00","1998-01-01T00:00","2009-01-01T00:00","0.0","0.0",,,,,"0.0","0.0"
"LinearCombinationMatchingRule","wikidata_8155","vg_sales_7114","0.09358974358974359",,"The $100,000 Pyramid","101-in-1 Party Megamix Wii","The $100,000 Pyramid","101-in-1 Party Megamix Wii","0.1923076923076923","0.1923076923076923","DOS","Wii","DOS","Wii","0.0","0.0","Sierra Attractions","Nordcurrent","Sierra Attractions","Nordcurrent","0.16666666666666663","0.16666666666666663","1987-01-01T00:00","2009-01-01T00:00","1987-01-01T00:00","2009-01-01T00:00","0.0","0.0","Hypnotix",,"Hypnotix",,"0.0","0.0"
"LinearCombinationMatchingRule","wikidata_10915","vg_sales_13266","0.042105263157894736",,"007黃金眼","2002 FIFA World Cup","007黃金眼","2002 FIFA World Cup","0.10526315789473684","0.10526315789473684","Xbox 360","GC","Xbox 360","GC","0.0","0.0",,"Electronic Arts",,"Electronic Arts","0.0","0.0","2010-01-01T00:00","2002-01-01T00:00","2010-01-01T00:00","2002-01-01T00:00","0.0","0.0","n-Space",,"n-Space",,"0.0","0.0"
"LinearCombinationMatchingRule","wikidata_10867","vg_sales_2425","0.0736842105263158",,"'98 Koushien: Koukou Yakyuu Simulation","2010 FIFA World Cup South Africa","'98 Koushien: Koukou Yakyuu Simulation","2010 FIFA World Cup South Africa","0.1842105263157895","0.1842105263157895","PlayStation","X360","PlayStation","X360","0.0","0.0",,"Electronic Arts",,"Electronic Arts","0.0","0.0","1998-01-01T00:00","2010-01-01T00:00","1998-01-01T00:00","2010-01-01T00:00","0.0","0.0",,,,,"0.0","0.0"
"LinearCombinationMatchingRule","wikidata_10915","vg_sales_7711","0.015384615384615375",,"007黃金眼","101-in-1 Explosive Megamix","007黃金眼","101-in-1 Explosive Megamix","0.038461538461538436","0.038461538461538436","Xbox 360","DS","Xbox 360","DS","0.0","0.0",,"Nordcurrent",,"Nordcurrent","0.0","0.0","2010-01-01T00:00","2008-01-01T00:00","2010-01-01T00:00","2008-01-01T00:00","0.0","0.0","n-Space",,"n-Space",,"0.0","0.0"
"LinearCombinationMatchingRule","wikidata_8156","vg_sales_8895","0.0708888888888889",,"The $100,000 Pyramid","187: Ride or Die","The $100,000 Pyramid","187: Ride or Die","0.15000000000000002","0.15000000000000002","Apple II series","PS2","Apple II series","PS2","0.01777777777777777","0.01777777777777777","Sierra Attractions","Ubisoft","Sierra Attractions","Ubisoft","0.05555555555555558","0.05555555555555558","1987-01-01T00:00","2005-01-01T00:00","1987-01-01T00:00","2005-01-01T00:00","0.0","0.0","Hypnotix",,"Hypnotix",,"0.0","0.0"
"LinearCombinationMatchingRule","wikidata_22091","vg_sales_5537","0.39106029106029105",,"That's So Raven: Psychic on the Scene","1001 Touch Games","That's So Raven: Psychic on the Scene","1001 Touch Games","0.18918918918918914","0.18918918918918914","Nintendo DS","DS","Nintendo DS","DS","1.0","1.0","Disney Interactive Studios","Avanquest","Disney Interactive Studios","Avanquest","0.15384615384615385","0.15384615384615385","2006-01-01T00:00","2011-01-01T00:00","2006-01-01T00:00","2011-01-01T00:00","0.0","0.0","Handheld Games",,"Handheld Games",,"0.0","0.0"
"LinearCombinationMatchingRule","wikidata_10916","vg_sales_7915","0.0",,"007黃金眼","3rd Super Robot Wars Z Jigoku Hen","007黃金眼","3rd Super Robot Wars Z Jigoku Hen","0.0","0.0","Nintendo DS","PSV","Nintendo DS","PSV","0.0","0.0",,"Namco Bandai Games",,"Namco Bandai Games","0.0","0.0","2010-01-01T00:00","2014-01-01T00:00","2010-01-01T00:00","2014-01-01T00:00","0.0","0.0","n-Space",,"n-Space",,"0.0","0.0"
